symbol,asOfDate,periodType,currencyCode,BasicEPS,DilutedEPS
AAP,1998-12-31,12M,USD,-0.04,-0.04
AAP,1999-12-31,12M,USD,-0.3,-0.3
AAP,2000-12-31,12M,USD,0.230115,0.230115
AAP,2001-12-31,12M,USD,0.133333,0.13
AAP,2002-12-31,12M,USD,0.62,0.6
AAP,2003-12-31,12M,USD,1.14,1.113333
AAP,2004-12-31,12M,USD,1.693333,1.66
AAP,2005-12-31,12M,USD,2.17,2.13
AAP,2006-12-31,12M,USD,2.18,2.16
AAP,2007-12-31,12M,USD,2.3,2.28
AAP,2008-12-31,12M,USD,2.51,2.5
AAP,2009-12-31,12M,USD,2.85,2.83
AAP,2010-12-31,12M,USD,4.0,3.95
AAP,2011-12-31,12M,USD,5.21,5.11
AAP,2012-12-31,12M,USD,5.29,5.22
AAP,2013-12-31,12M,USD,5.36,5.32
AAP,2014-12-31,12M,USD,6.75,6.71
AAP,2015-12-31,12M,USD,6.45,6.4
AAP,2016-12-31,12M,USD,6.22,6.2
AAP,2017-12-31,12M,USD,6.44,6.42
AAP,2018-12-31,12M,USD,5.75,5.73
AAP,2019-12-31,12M,USD,6.87,6.84
AAP,2020-12-31,12M,USD,7.17,7.14
AAP,2021-12-31,12M,USD,9.62,9.55
AAP,2022-12-31,12M,USD,8.32,8.27
ADP,1986-06-30,12M,USD,0.19,0.18
ADP,1987-06-30,12M,USD,0.22,0.21
ADP,1988-06-30,12M,USD,0.28,0.27
ADP,1989-06-30,12M,USD,0.32,0.31
ADP,1990-06-30,12M,USD,0.36,0.36
ADP,1991-06-30,12M,USD,0.41,0.41
ADP,1992-06-30,12M,USD,0.46,0.46
ADP,1993-06-30,12M,USD,0.52,0.52
ADP,1994-06-30,12M,USD,0.585,0.585
ADP,1995-06-30,12M,USD,0.6925,0.6925
ADP,1996-06-30,12M,USD,0.785,0.785
ADP,1997-06-30,12M,USD,0.88,0.88
ADP,1998-06-30,12M,USD,1.02,0.99
ADP,1999-06-30,12M,USD,1.13,1.1
ADP,2000-06-30,12M,USD,1.34,1.31
ADP,2001-06-30,12M,USD,1.47,1.44
ADP,2002-06-30,12M,USD,1.78,1.75
ADP,2003-06-30,12M,USD,1.7,1.68
ADP,2004-06-30,12M,USD,1.58,1.56
ADP,2005-06-30,12M,USD,1.81,1.79
ADP,2006-06-30,12M,USD,2.7,2.68
ADP,2007-06-30,12M,USD,2.07,2.04
ADP,2008-06-30,12M,USD,2.37,2.34
ADP,2009-06-30,12M,USD,2.65,2.63
ADP,2010-06-30,12M,USD,2.42,2.4
ADP,2011-06-30,12M,USD,2.54,2.52
ADP,2012-06-30,12M,USD,2.85,2.82
ADP,2013-06-30,12M,USD,2.91,2.89
ADP,2014-06-30,12M,USD,3.17,3.14
ADP,2015-06-30,12M,USD,3.07,3.05
ADP,2016-06-30,12M,USD,3.27,3.25
ADP,2017-06-30,12M,USD,3.87,3.85
ADP,2018-06-30,12M,USD,3.68,3.66
ADP,2019-06-30,12M,USD,5.27,5.24
ADP,2020-06-30,12M,USD,5.73,5.7
ADP,2021-06-30,12M,USD,6.1,6.07
ADP,2022-06-30,12M,USD,7.04,7.0
AES,1990-12-31,12M,USD,0.07,0.07
AES,1991-12-31,12M,USD,0.17,0.17
AES,1992-12-31,12M,USD,0.21,0.21
AES,1993-12-31,12M,USD,0.25,0.25
AES,1994-12-31,12M,USD,0.34,0.34
AES,1995-12-31,12M,USD,0.36,0.36
AES,1996-12-31,12M,USD,0.405,0.405
AES,1997-12-31,12M,USD,0.555,0.545
AES,1998-12-31,12M,USD,0.875,0.845
AES,1999-12-31,12M,USD,0.595,0.58
AES,2000-12-31,12M,USD,1.45,1.4
AES,2001-12-31,12M,USD,0.52,0.51
AES,2002-12-31,12M,USD,-6.51,-6.51
AES,2003-12-31,12M,USD,-0.68,-0.68
AES,2004-12-31,12M,USD,0.6,0.6
AES,2005-12-31,12M,USD,0.96,0.95
AES,2006-12-31,12M,USD,0.4,0.39
AES,2007-12-31,12M,USD,-0.14,-0.14
AES,2008-12-31,12M,USD,1.84,1.82
AES,2009-12-31,12M,USD,0.99,0.98
AES,2010-12-31,12M,USD,0.01,0.01
AES,2011-12-31,12M,USD,0.07,0.07
AES,2012-12-31,12M,USD,-1.21,-1.21
AES,2013-12-31,12M,USD,0.15,0.15
AES,2014-12-31,12M,USD,1.07,1.06
AES,2015-12-31,12M,USD,0.45,0.44
AES,2016-12-31,12M,USD,-1.72,-1.72
AES,2017-12-31,12M,USD,-1.76,-1.76
AES,2018-12-31,12M,USD,1.82,1.81
AES,2019-12-31,12M,USD,0.46,0.45
AES,2020-12-31,12M,USD,0.07,0.07
AES,2021-12-31,12M,USD,-0.61,-0.61
AFG,1985-12-31,12M,USD,0.92046,0.92046
AFG,1986-12-31,12M,USD,1.28731,1.28731
AFG,1987-12-31,12M,USD,0.30682,0.30682
AFG,1988-12-31,12M,USD,0.97382,0.97382
AFG,1989-12-31,12M,USD,1.65416,1.65416
AFG,1990-12-31,12M,USD,1.0672,1.0672
AFG,1991-12-31,12M,USD,0.022233,0.022233
AFG,1992-12-31,12M,USD,4.32216,4.32216
AFG,1993-12-31,12M,USD,4.56895,4.56895
AFG,1994-12-31,12M,USD,-0.55361,-0.55361
AFG,1995-12-31,12M,USD,2.58796,2.56795
AFG,1996-12-31,12M,USD,2.56128,2.52793
AFG,1997-12-31,12M,USD,0.433333,0.426667
AFG,1998-12-31,12M,USD,1.353333,1.333333
AFG,1999-12-31,12M,USD,1.58,1.566667
AFG,2000-12-31,12M,USD,-0.633333,-0.633333
AFG,2001-12-31,12M,USD,-0.146667,-0.146667
AFG,2002-12-31,12M,USD,0.82,0.813333
AFG,2003-12-31,12M,USD,2.76,2.746667
AFG,2004-12-31,12M,USD,3.26,3.206667
AFG,2005-12-31,12M,USD,1.786667,1.746667
AFG,2006-12-31,12M,USD,3.84,3.75
AFG,2007-12-31,12M,USD,3.25,3.1
AFG,2008-12-31,12M,USD,1.71,1.67
AFG,2009-12-31,12M,USD,4.577271,4.45
AFG,2010-12-31,12M,USD,4.38,4.33
AFG,2011-12-31,12M,USD,3.505494,3.33
AFG,2012-12-31,12M,USD,5.484421,5.09
AFG,2013-12-31,12M,USD,5.293366,5.16
AFG,2014-12-31,12M,USD,5.153417,4.97
AFG,2015-12-31,12M,USD,4.024032,3.94
AFG,2016-12-31,12M,USD,7.47,7.33
AFG,2017-12-31,12M,USD,5.380884,5.28
AFG,2018-12-31,12M,USD,5.9356,5.85
AFG,2019-12-31,12M,USD,9.933149,9.85
AFG,2020-12-31,12M,USD,8.477595,8.2
AFG,2021-12-31,12M,USD,23.492432,23.3
AFG,2022-12-31,12M,USD,10.55,10.53
AFL,1985-12-31,12M,USD,0.045,0.045
AFL,1986-12-31,12M,USD,0.065,0.065
AFL,1987-12-31,12M,USD,0.08,0.08
AFL,1988-12-31,12M,USD,0.09,0.09
AFL,1989-12-31,12M,USD,0.07,0.07
AFL,1990-12-31,12M,USD,0.1,0.095
AFL,1991-12-31,12M,USD,0.125,0.12
AFL,1992-12-31,12M,USD,0.15,0.15
AFL,1993-12-31,12M,USD,0.21,0.205
AFL,1994-12-31,12M,USD,0.236667,0.236667
AFL,1995-12-31,12M,USD,0.29125,0.29125
AFL,1996-12-31,12M,USD,0.34125,0.34125
AFL,1997-12-31,12M,USD,0.5375,0.52
AFL,1998-12-31,12M,USD,0.4575,0.44
AFL,1999-12-31,12M,USD,0.5375,0.5175
AFL,2000-12-31,12M,USD,0.65,0.63
AFL,2001-12-31,12M,USD,0.655,0.64
AFL,2002-12-31,12M,USD,0.795,0.775
AFL,2003-12-31,12M,USD,0.775,0.76
AFL,2004-12-31,12M,USD,1.28,1.26
AFL,2005-12-31,12M,USD,1.48,1.46
AFL,2006-12-31,12M,USD,1.495,1.475
AFL,2007-12-31,12M,USD,1.675,1.655
AFL,2008-12-31,12M,USD,1.325,1.31
AFL,2009-12-31,12M,USD,1.605,1.595
AFL,2010-12-31,12M,USD,2.5,2.475
AFL,2011-12-31,12M,USD,2.105,2.09
AFL,2012-12-31,12M,USD,3.07,3.055
AFL,2013-12-31,12M,USD,3.4,3.38
AFL,2014-12-31,12M,USD,3.27,3.25
AFL,2015-12-31,12M,USD,2.94,2.925
AFL,2016-12-31,12M,USD,3.23,3.21
AFL,2017-12-31,12M,USD,5.52,5.48
AFL,2018-12-31,12M,USD,3.79,3.77
AFL,2019-12-31,12M,USD,4.45,4.43
AFL,2020-12-31,12M,USD,6.69,6.67
AFL,2021-12-31,12M,USD,6.42,6.39
AFL,2022-12-31,12M,USD,6.62,6.59
AIG,1985-12-31,12M,USD,4.2,4.2
AIG,1986-12-31,12M,USD,6.6,6.6
AIG,1987-12-31,12M,USD,9.8,9.8
AIG,1988-12-31,12M,USD,12.4,12.4
AIG,1989-12-31,12M,USD,14.0,14.0
AIG,1990-12-31,12M,USD,14.6,14.6
AIG,1991-12-31,12M,USD,15.4,15.2
AIG,1992-12-31,12M,USD,16.6,16.6
AIG,1993-12-31,12M,USD,19.6,19.4
AIG,1994-12-31,12M,USD,21.712593,21.712593
AIG,1995-12-31,12M,USD,25.125926,25.125926
AIG,1996-12-31,12M,USD,29.155556,29.155556
AIG,1997-12-31,12M,USD,33.777778,33.635556
AIG,1998-12-31,12M,USD,38.293333,38.08
AIG,1999-12-31,12M,USD,43.6,43.066667
AIG,2000-12-31,12M,USD,48.6,48.2
AIG,2001-12-31,12M,USD,41.0,40.4
AIG,2002-12-31,12M,USD,42.2,42.0
AIG,2003-12-31,12M,USD,71.0,70.6
AIG,2004-12-31,12M,USD,74.6,73.8
AIG,2005-12-31,12M,USD,80.6,79.8
AIG,2006-12-31,12M,USD,107.8,107.2
